IMAGE,EMO,Unicode,Bytes (UTF-8),Description
😄,1,U+1F604,\xF0\x9F\x98\x84,SMILING FACE WITH OPEN MOUTH AND SMILING EYES
😃,2,U+1F603,\xF0\x9F\x98\x83,SMILING FACE WITH OPEN MOUTH
😀,3,U+1F600,\xF0\x9F\x98\x80,GRINNING FACE
😊,4,U+1F60A,\xF0\x9F\x98\x8A,SMILING FACE WITH SMILING EYES
☺️,5,U+263A,\xE2\x98\xBA,WHITE SMILING FACE
😉,6,U+1F609,\xF0\x9F\x98\x89,WINKING FACE
😍,7,U+1F60D,\xF0\x9F\x98\x8D,SMILING FACE WITH HEART-SHAPED EYES
😘,8,U+1F618,\xF0\x9F\x98\x98,FACE THROWING A KISS
😚,9,U+1F61A,\xF0\x9F\x98\x9A,KISSING FACE WITH CLOSED EYES
😗,10,U+1F617,\xF0\x9F\x98\x97,KISSING FACE
😙,11,U+1F619,\xF0\x9F\x98\x99,KISSING FACE WITH SMILING EYES
😜,12,U+1F61C,\xF0\x9F\x98\x9C,FACE WITH STUCK-OUT TONGUE AND WINKING EYE
😝,13,U+1F61D,\xF0\x9F\x98\x9D,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
😛,14,U+1F61B,\xF0\x9F\x98\x9B,FACE WITH STUCK-OUT TONGUE
😳,15,U+1F633,\xF0\x9F\x98\xB3,FLUSHED FACE
😁,16,U+1F601,\xF0\x9F\x98\x81,GRINNING FACE WITH SMILING EYES
😔,17,U+1F614,\xF0\x9F\x98\x94,PENSIVE FACE
😌,18,U+1F60C,\xF0\x9F\x98\x8C,RELIEVED FACE
😒,19,U+1F612,\xF0\x9F\x98\x92,UNAMUSED FACE
😞,20,U+1F61E,\xF0\x9F\x98\x9E,DISAPPOINTED FACE
😣,21,U+1F623,\xF0\x9F\x98\xA3,PERSEVERING FACE
😢,22,U+1F622,\xF0\x9F\x98\xA2,CRYING FACE
😂,23,U+1F602,\xF0\x9F\x98\x82,FACE WITH TEARS OF JOY
😭,24,U+1F62D,\xF0\x9F\x98\xAD,LOUDLY CRYING FACE
😪,25,U+1F62A,\xF0\x9F\x98\xAA,SLEEPY FACE
😥,26,U+1F625,\xF0\x9F\x98\xA5,DISAPPOINTED BUT RELIEVED FACE
😰,27,U+1F630,\xF0\x9F\x98\xB0,FACE WITH OPEN MOUTH AND COLD SWEAT
😅,28,U+1F605,\xF0\x9F\x98\x85,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
😓,29,U+1F613,\xF0\x9F\x98\x93,FACE WITH COLD SWEAT
😩,30,U+1F629,\xF0\x9F\x98\xA9,WEARY FACE
😫,31,U+1F62B,\xF0\x9F\x98\xAB,TIRED FACE
😨,32,U+1F628,\xF0\x9F\x98\xA8,FEARFUL FACE
😱,33,U+1F631,\xF0\x9F\x98\xB1,FACE SCREAMING IN FEAR
😠,34,U+1F620,\xF0\x9F\x98\xA0,ANGRY FACE
😡,35,U+1F621,\xF0\x9F\x98\xA1,POUTING FACE
😤,36,U+1F624,\xF0\x9F\x98\xA4,FACE WITH LOOK OF TRIUMPH
😖,37,U+1F616,\xF0\x9F\x98\x96,CONFOUNDED FACE
😆,38,U+1F606,\xF0\x9F\x98\x86,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
😋,39,U+1F60B,\xF0\x9F\x98\x8B,FACE SAVOURING DELICIOUS FOOD
😷,40,U+1F637,\xF0\x9F\x98\xB7,FACE WITH MEDICAL MASK
😎,41,U+1F60E,\xF0\x9F\x98\x8E,SMILING FACE WITH SUNGLASSES
😴,42,U+1F634,\xF0\x9F\x98\xB4,SLEEPING FACE
😵,43,U+1F635,\xF0\x9F\x98\xB5,DIZZY FACE
😲,44,U+1F632,\xF0\x9F\x98\xB2,ASTONISHED FACE
😟,45,U+1F61F,\xF0\x9F\x98\x9F,WORRIED FACE
😦,46,U+1F626,\xF0\x9F\x98\xA6,FROWNING FACE WITH OPEN MOUTH
😧,47,U+1F627,\xF0\x9F\x98\xA7,ANGUISHED FACE
😈,48,U+1F608,\xF0\x9F\x98\x88,SMILING FACE WITH HORNS
😮,50,U+1F62E,\xF0\x9F\x98\xAE,FACE WITH OPEN MOUTH
😬,51,U+1F62C,\xF0\x9F\x98\xAC,GRIMACING FACE
😐,52,U+1F610,\xF0\x9F\x98\x90,NEUTRAL FACE
😕,53,U+1F615,\xF0\x9F\x98\x95,CONFUSED FACE
😯,54,U+1F62F,\xF0\x9F\x98\xAF,HUSHED FACE
😶,55,U+1F636,\xF0\x9F\x98\xB6,FACE WITHOUT MOUTH
😇,56,U+1F607,\xF0\x9F\x98\x87,SMILING FACE WITH HALO
😏,57,U+1F60F,\xF0\x9F\x98\x8F,SMIRKING FACE
😑,58,U+1F611,\xF0\x9F\x98\x91,EXPRESSIONLESS FACE
😺,60,U+1F63A,\xF0\x9F\x98\xBA,SMILING CAT FACE WITH OPEN MOUTH
😸,61,U+1F638,\xF0\x9F\x98\xB8,GRINNING CAT FACE WITH SMILING EYES
😻,62,U+1F63B,\xF0\x9F\x98\xBB,SMILING CAT FACE WITH HEART-SHAPED EYES
😽,63,U+1F63D,\xF0\x9F\x98\xBD,KISSING CAT FACE WITH CLOSED EYES
😼,64,U+1F63C,\xF0\x9F\x98\xBC,CAT FACE WITH WRY SMILE
🙀,65,U+1F640,\xF0\x9F\x99\x80,WEARY CAT FACE
😿,66,U+1F63F,\xF0\x9F\x98\xBF,CRYING CAT FACE
😹,67,U+1F639,\xF0\x9F\x98\xB9,CAT FACE WITH TEARS OF JOY
😾,68,U+1F63E,\xF0\x9F\x98\xBE,POUTING CAT FACE
👹,69,U+1F479,\xF0\x9F\x91\xB9,JAPANESE OGRE
👺,70,U+1F47A,\xF0\x9F\x91\xBA,JAPANESE GOBLIN
🙈,71,U+1F648,\xF0\x9F\x99\x88,SEE-NO-EVIL MONKEY
🙉,72,U+1F649,\xF0\x9F\x99\x89,HEAR-NO-EVIL MONKEY
🙊,73,U+1F64A,\xF0\x9F\x99\x8A,SPEAK-NO-EVIL MONKEY
💀,74,U+1F480,\xF0\x9F\x92\x80,SKULL
👽,75,U+1F47D,\xF0\x9F\x91\xBD,EXTRATERRESTRIAL ALIEN
💩,76,U+1F4A9,\xF0\x9F\x92\xA9,PILE OF POO
🔥,77,U+1F525,\xF0\x9F\x94\xA5,FIRE
✨,78,U+2728,\xE2\x9C\xA8,SPARKLES
🌟,79,U+1F31F,\xF0\x9F\x8C\x9F,GLOWING STAR
💫,80,U+1F4AB,\xF0\x9F\x92\xAB,DIZZY SYMBOL
💥,81,U+1F4A5,\xF0\x9F\x92\xA5,COLLISION SYMBOL
💦,83,U+1F4A6,\xF0\x9F\x92\xA6,SPLASHING SWEAT SYMBOL
💧,84,U+1F4A7,\xF0\x9F\x92\xA7,DROPLET
💤,85,U+1F4A4,\xF0\x9F\x92\xA4,SLEEPING SYMBOL
💨,86,U+1F4A8,\xF0\x9F\x92\xA8,DASH SYMBOL
👂,87,U+1F442,\xF0\x9F\x91\x82,EAR
👀,88,U+1F440,\xF0\x9F\x91\x80,EYES
👃,89,U+1F443,\xF0\x9F\x91\x83,NOSE
👅,90,U+1F445,\xF0\x9F\x91\x85,TONGUE
👄,91,U+1F444,\xF0\x9F\x91\x84,MOUTH
👍,92,U+1F44D,\xF0\x9F\x91\x8D,THUMBS UP SIGN
👌,94,U+1F44C,\xF0\x9F\x91\x8C,OK HAND SIGN
👊,95,U+1F44A,\xF0\x9F\x91\x8A,FISTED HAND SIGN
✊,96,U+270A,\xE2\x9C\x8A,RAISED FIST
✌️,97,U+270C,\xE2\x9C\x8C,VICTORY HAND
👋,98,U+1F44B,\xF0\x9F\x91\x8B,WAVING HAND SIGN
✋,99,U+270B,\xE2\x9C\x8B,RAISED HAND
👐,100,U+1F450,\xF0\x9F\x91\x90,OPEN HANDS SIGN
🙌,105,U+1F64C,\xF0\x9F\x99\x8C,PERSON RAISING BOTH HANDS IN CELEBRATION
🙏,106,U+1F64F,\xF0\x9F\x99\x8F,PERSON WITH FOLDED HANDS
👏,108,U+1F44F,\xF0\x9F\x91\x8F,CLAPPING HANDS SIGN
💪,109,U+1F4AA,\xF0\x9F\x92\xAA,FLEXED BICEPS
🚶,110,U+1F6B6,\xF0\x9F\x9A\xB6,PEDESTRIAN
🏃,111,U+1F3C3,\xF0\x9F\x8F\x83,RUNNER
💃,112,U+1F483,\xF0\x9F\x92\x83,DANCER
👫,113,U+1F46B,\xF0\x9F\x91\xAB,MAN AND WOMAN HOLDING HANDS
👪,114,U+1F46A,\xF0\x9F\x91\xAA,FAMILY
❤️,116,U+2764,\xE2\x9D\xA4,HEAVY BLACK HEART
💔,117,U+1F494,\xF0\x9F\x92\x94,BROKEN HEART
💗,118,U+1F497,\xF0\x9F\x92\x97,GROWING HEART
💓,119,U+1F493,\xF0\x9F\x92\x93,BEATING HEART
💕,120,U+1F495,\xF0\x9F\x92\x95,TWO HEARTS
💖,121,U+1F496,\xF0\x9F\x92\x96,SPARKLING HEART
💞,122,U+1F49E,\xF0\x9F\x92\x9E,REVOLVING HEARTS
